,Ign,Team,Acs,Matches_x,Headshot %,Bodyshot %,Legshot %,Matches_y,Clutches,Clutch Failures,Damage,Defusals,Headshots,Kills,Deaths,Assists,Kd,Multikills,Plants,Spend,Player Id
0,valyn,The Guard (ex),399.0,55.0,24.24,69.53,6.21,55.0,12.0,117.0,147558.0,18.0,605.0,795.0,783.0,403.0,1.02,190.0,220.0,2891900.0,1804
1,Chronicle,M3 Champions (ex),394.0,47.0,22.23,72.46,5.3,47.0,11.0,69.0,259409.0,13.0,527.0,573.0,501.0,185.0,1.14,356.0,56.0,2519150.0,274
2,Chronicle,Gambit Esports (ex),284.0,5.0,24.84,71.01,4.14,5.0,4.0,14.0,21514.0,3.0,78.0,117.0,75.0,57.0,1.56,33.0,4.0,293850.0,274
3,nAts,M3 Champions (ex),392.0,47.0,31.02,64.4,4.57,47.0,21.0,73.0,260307.0,13.0,702.0,834.0,674.0,290.0,1.24,370.0,48.0,2517500.0,1081
4,nAts,Gambit Esports (ex),146.0,5.0,26.59,69.14,4.25,5.0,2.0,12.0,11029.0,3.0,50.0,61.0,80.0,31.0,0.76,15.0,18.0,315200.0,1081
5,sheydos,M3 Champions (ex),361.0,47.0,25.12,68.23,6.63,34.0,19.0,93.0,96252.0,23.0,390.0,543.0,448.0,195.0,1.21,136.0,66.0,1865950.0,2528
6,sheydos,Gambit Esports (ex),222.0,5.0,26.76,65.79,7.43,5.0,3.0,15.0,17466.0,3.0,72.0,97.0,75.0,26.0,1.29,25.0,8.0,329500.0,2528
7,Akame,K2 eSports (ex),338.0,2.0,32.69,62.5,4.8,2.0,1.0,10.0,8629.0,2.0,34.0,49.0,30.0,3.0,1.63,14.0,1.0,103200.0,8955
8,Akame,Jadeite,182.0,8.0,22.66,74.4,2.93,8.0,1.0,12.0,20823.0,1.0,85.0,99.0,134.0,61.0,0.74,24.0,16.0,430300.0,8955
9,luckeRRR,BIG (ex),334.0,12.0,26.87,64.23,8.88,12.0,2.0,27.0,53430.0,2.0,118.0,143.0,186.0,76.0,0.77,66.0,38.0,613950.0,819
10,Redgar,M3 Champions (ex),325.0,47.0,31.84,60.9,7.24,34.0,11.0,49.0,91460.0,19.0,413.0,487.0,505.0,223.0,0.96,115.0,59.0,1804200.0,1964
